n,k,p,Analítico,Simulado,Erro (%)
4,1,0.0,0.0,0.0,0.0
4,1,0.05,0.185494,0.1854,0.05
4,1,0.1,0.3439,0.3474,1.02
4,1,0.15,0.477994,0.4794,0.29
4,1,0.2,0.5904,0.5852,0.88
4,1,0.25,0.683594,0.6858,0.32
4,1,0.3,0.7599,0.7562,0.49
4,1,0.35,0.821494,0.814,0.91
4,1,0.4,0.8704,0.8728,0.28
4,1,0.45,0.908494,0.9168,0.91
4,1,0.5,0.9375,0.935,0.27
4,1,0.55,0.958994,0.9578,0.12
4,1,0.6,0.9744,0.9752,0.08
4,1,0.65,0.984994,0.986,0.1
4,1,0.7,0.9919,0.991,0.09
4,1,0.75,0.996094,0.9974,0.13
4,1,0.8,0.9984,0.9982,0.02
4,1,0.85,0.999494,0.9996,0.01
4,1,0.9,0.9999,0.9998,0.01
4,1,0.95,0.999994,1.0,0.0
4,1,1.0,1.0,1.0,0.0
4,2,0.0,0.0,0.0,0.0
4,2,0.05,0.014019,0.0166,18.41
4,2,0.1,0.0523,0.0518,0.96
4,2,0.15,0.109519,0.1058,3.4
4,2,0.2,0.1808,0.1832,1.33
4,2,0.25,0.261719,0.2606,0.43
4,2,0.3,0.3483,0.3354,3.7
4,2,0.35,0.437019,0.4396,0.59
4,2,0.4,0.5248,0.5196,0.99
4,2,0.45,0.609019,0.5992,1.61
4,2,0.5,0.6875,0.6902,0.39
4,2,0.55,0.758519,0.7638,0.7
4,2,0.6,0.8208,0.8246,0.46
4,2,0.65,0.873519,0.8668,0.77
4,2,0.7,0.9163,0.9174,0.12
4,2,0.75,0.949219,0.9458,0.36
4,2,0.8,0.9728,0.975,0.23
4,2,0.85,0.988019,0.9848,0.33
4,2,0.9,0.9963,0.996,0.03
4,2,0.95,0.999519,0.9994,0.01
4,2,1.0,1.0,1.0,0.0
4,4,0.0,0.0,0.0,0.0
4,4,0.05,6e-06,0.0,100.0
4,4,0.1,0.0001,0.0004,300.0
4,4,0.15,0.000506,0.0006,18.52
4,4,0.2,0.0016,0.001,37.5
4,4,0.25,0.003906,0.0032,18.08
4,4,0.3,0.0081,0.009,11.11
4,4,0.35,0.015006,0.0138,8.04
4,4,0.4,0.0256,0.024,6.25
4,4,0.45,0.041006,0.0366,10.75
4,4,0.5,0.0625,0.0602,3.68
4,4,0.55,0.091506,0.0982,7.32
4,4,0.6,0.1296,0.1354,4.48
4,4,0.65,0.178506,0.1766,1.07
4,4,0.7,0.2401,0.2398,0.12
4,4,0.75,0.316406,0.3094,2.21
4,4,0.8,0.4096,0.4214,2.88
4,4,0.85,0.522006,0.5264,0.84
4,4,0.9,0.6561,0.6512,0.75
4,4,0.95,0.814506,0.8116,0.36
4,4,1.0,1.0,1.0,0.0
6,1,0.0,0.0,0.0,0.0
6,1,0.05,0.264908,0.2576,2.76
6,1,0.1,0.468559,0.4606,1.7
6,1,0.15,0.62285,0.6178,0.81
6,1,0.2,0.737856,0.7418,0.53
6,1,0.25,0.822021,0.8202,0.22
6,1,0.3,0.882351,0.8804,0.22
6,1,0.35,0.924581,0.9218,0.3
6,1,0.4,0.953344,0.9528,0.06
6,1,0.45,0.972319,0.9726,0.03
6,1,0.5,0.984375,0.9852,0.08
6,1,0.55,0.991696,0.9908,0.09
6,1,0.6,0.995904,0.997,0.11
6,1,0.65,0.998162,0.9976,0.06
6,1,0.7,0.999271,0.999,0.03
6,1,0.75,0.999756,0.9996,0.02
6,1,0.8,0.999936,0.9998,0.01
6,1,0.85,0.999989,1.0,0.0
6,1,0.9,0.999999,1.0,0.0
6,1,0.95,1.0,1.0,0.0
6,1,1.0,1.0,1.0,0.0
6,3,0.0,0.0,0.0,0.0
6,3,0.05,0.00223,0.0022,1.34
6,3,0.1,0.01585,0.0186,17.35
6,3,0.15,0.047339,0.0534,12.8
6,3,0.2,0.09888,0.103,4.17
6,3,0.25,0.169434,0.1642,3.09
6,3,0.3,0.25569,0.2464,3.63
6,3,0.35,0.352915,0.3498,0.88
6,3,0.4,0.45568,0.4574,0.38
6,3,0.45,0.558482,0.5608,0.41
6,3,0.5,0.65625,0.665,1.33
6,3,0.55,0.744736,0.7412,0.47
6,3,0.6,0.8208,0.8188,0.24
6,3,0.65,0.882576,0.892,1.07
6,3,0.7,0.92953,0.9266,0.32
6,3,0.75,0.962402,0.966,0.37
6,3,0.8,0.98304,0.985,0.2
6,3,0.85,0.994115,0.995,0.09
6,3,0.9,0.99873,0.9988,0.01
6,3,0.95,0.999914,1.0,0.01
6,3,1.0,1.0,1.0,0.0
6,6,0.0,0.0,0.0,0.0
6,6,0.05,0.0,0.0,100.0
6,6,0.1,1e-06,0.0,100.0
6,6,0.15,1.1e-05,0.0002,1655.83
6,6,0.2,6.4e-05,0.0,100.0
6,6,0.25,0.000244,0.0,100.0
6,6,0.3,0.000729,0.0008,9.74
6,6,0.35,0.001838,0.001,45.6
6,6,0.4,0.004096,0.0044,7.42
6,6,0.45,0.008304,0.0104,25.24
6,6,0.5,0.015625,0.0134,14.24
6,6,0.55,0.027681,0.027,2.46
6,6,0.6,0.046656,0.0468,0.31
6,6,0.65,0.075419,0.074,1.88
6,6,0.7,0.117649,0.1162,1.23
6,6,0.75,0.177979,0.178,0.01
6,6,0.8,0.262144,0.2606,0.59
6,6,0.85,0.37715,0.38,0.76
6,6,0.9,0.531441,0.5236,1.48
6,6,0.95,0.735092,0.7524,2.35
6,6,1.0,1.0,1.0,0.0
10,1,0.0,0.0,0.0,0.0
10,1,0.05,0.401263,0.3932,2.01
10,1,0.1,0.651322,0.6506,0.11
10,1,0.15,0.803126,0.8074,0.53
10,1,0.2,0.892626,0.8918,0.09
10,1,0.25,0.943686,0.9462,0.27
10,1,0.3,0.971752,0.9676,0.43
10,1,0.35,0.986537,0.9834,0.32
10,1,0.4,0.993953,0.994,0.0
10,1,0.45,0.997467,0.9984,0.09
10,1,0.5,0.999023,0.9988,0.02
10,1,0.55,0.999659,0.9996,0.01
10,1,0.6,0.999895,0.9998,0.01
10,1,0.65,0.999972,1.0,0.0
10,1,0.7,0.999994,1.0,0.0
10,1,0.75,0.999999,1.0,0.0
10,1,0.8,1.0,1.0,0.0
10,1,0.85,1.0,1.0,0.0
10,1,0.9,1.0,1.0,0.0
10,1,0.95,1.0,1.0,0.0
10,1,1.0,1.0,1.0,0.0
10,5,0.0,0.0,0.0,0.0
10,5,0.05,6.4e-05,0.0002,214.02
10,5,0.1,0.001635,0.0022,34.56
10,5,0.15,0.009874,0.0088,10.88
10,5,0.2,0.032793,0.036,9.78
10,5,0.25,0.078127,0.0802,2.65
10,5,0.3,0.150268,0.146,2.84
10,5,0.35,0.248504,0.2472,0.52
10,5,0.4,0.366897,0.3622,1.28
10,5,0.45,0.495595,0.4958,0.04
10,5,0.5,0.623047,0.6228,0.04
10,5,0.55,0.738437,0.7472,1.19
10,5,0.6,0.833761,0.834,0.03
10,5,0.65,0.905066,0.904,0.12
10,5,0.7,0.952651,0.9534,0.08
10,5,0.75,0.980272,0.9818,0.16
10,5,0.8,0.993631,0.9928,0.08
10,5,0.85,0.998617,0.9986,0.0
10,5,0.9,0.999853,1.0,0.01
10,5,0.95,0.999997,1.0,0.0
10,5,1.0,1.0,1.0,0.0
10,10,0.0,0.0,0.0,0.0
10,10,0.05,0.0,0.0,100.0
10,10,0.1,0.0,0.0,100.0
10,10,0.15,0.0,0.0,100.0
10,10,0.2,0.0,0.0,100.0
10,10,0.25,1e-06,0.0,100.0
10,10,0.3,6e-06,0.0,100.0
10,10,0.35,2.8e-05,0.0,100.0
10,10,0.4,0.000105,0.0006,472.2
10,10,0.45,0.000341,0.0002,41.26
10,10,0.5,0.000977,0.0004,59.04
10,10,0.55,0.002533,0.002,21.04
10,10,0.6,0.006047,0.0062,2.54
10,10,0.65,0.013463,0.0162,20.33
10,10,0.7,0.028248,0.027,4.42
10,10,0.75,0.056314,0.0554,1.62
10,10,0.8,0.107374,0.1152,7.29
10,10,0.85,0.196874,0.2078,5.55
10,10,0.9,0.348678,0.3366,3.46
10,10,0.95,0.598737,0.5954,0.56
10,10,1.0,1.0,1.0,0.0
